Эпоха [0/25] Итерация [0/2, Loss: 0.19136349856853485, Triplets: 423\]

Эпоха [0/25] Итерация [100/2, Loss: 0.2286488562822342, Triplets: 268\]

Эпоха [0/25] Итерация [200/2, Loss: 0.15461894869804382, Triplets: 232\]

Val accuracy: 0.3076923076923077
Эпоха [1/25] Итерация [0/2, Loss: 0.12391220033168793, Triplets: 205\]

Эпоха [1/25] Итерация [100/2, Loss: 0.08247052878141403, Triplets: 23\]

Эпоха [1/25] Итерация [200/2, Loss: 0.1042780950665474, Triplets: 31\]

Эпоха [2/25] Итерация [0/2, Loss: 0.09902016073465347, Triplets: 58\]

Эпоха [2/25] Итерация [100/2, Loss: 0.18104581534862518, Triplets: 68\]

Эпоха [2/25] Итерация [200/2, Loss: 0.12473054230213165, Triplets: 75\]

Эпоха [3/25] Итерация [0/2, Loss: 0.1670963168144226, Triplets: 175\]

Эпоха [3/25] Итерация [100/2, Loss: 0.11727569997310638, Triplets: 56\]

Эпоха [3/25] Итерация [200/2, Loss: 0.10731540620326996, Triplets: 19\]

Эпоха [4/25] Итерация [0/2, Loss: 0.24778598546981812, Triplets: 154\]

Эпоха [4/25] Итерация [100/2, Loss: 0.0, Triplets: 0\]

Эпоха [4/25] Итерация [200/2, Loss: 0.18939751386642456, Triplets: 112\]

Эпоха [5/25] Итерация [200/2, Loss: 0.12248185276985168, Triplets: 49\]

Val accuracy: 0.5997150997150997
Эпоха [6/25] Итерация [0/2, Loss: 0.0966208353638649, Triplets: 28\]

Эпоха [6/25] Итерация [100/2, Loss: 0.1542888581752777, Triplets: 27\]

Эпоха [6/25] Итерация [200/2, Loss: 0.07185520976781845, Triplets: 26\]

Эпоха [7/25] Итерация [0/2, Loss: 0.18293587863445282, Triplets: 114\]

Эпоха [7/25] Итерация [100/2, Loss: 0.06730608642101288, Triplets: 13\]

Эпоха [7/25] Итерация [200/2, Loss: 0.02934141457080841, Triplets: 1\]

Эпоха [8/25] Итерация [0/2, Loss: 0.11037147045135498, Triplets: 29\]

Эпоха [8/25] Итерация [100/2, Loss: 0.11375856399536133, Triplets: 5\]

Эпоха [8/25] Итерация [200/2, Loss: 0.12649782001972198, Triplets: 36\]

Эпоха [9/25] Итерация [0/2, Loss: 0.0, Triplets: 0\]

Эпоха [9/25] Итерация [100/2, Loss: 0.18436212837696075, Triplets: 84\]

Эпоха [9/25] Итерация [200/2, Loss: 0.08300939947366714, Triplets: 18\]

Эпоха [10/25] Итерация [0/2, Loss: 0.11549373716115952, Triplets: 30\]

Эпоха [10/25] Итерация [100/2, Loss: 0.0, Triplets: 0\]

Эпоха [10/25] Итерация [200/2, Loss: 0.0566830188035965, Triplets: 1\]

Val accuracy: 0.6609686609686609
Эпоха [11/25] Итерация [0/2, Loss: 0.12175954878330231, Triplets: 85\]

Эпоха [11/25] Итерация [100/2, Loss: 0.1353457123041153, Triplets: 59\]

Эпоха [11/25] Итерация [200/2, Loss: 0.06814596056938171, Triplets: 12\]

Эпоха [12/25] Итерация [0/2, Loss: 0.0, Triplets: 0\]

Эпоха [12/25] Итерация [100/2, Loss: 0.13113752007484436, Triplets: 3\]

Эпоха [12/25] Итерация [200/2, Loss: 0.08283741772174835, Triplets: 38\]

Эпоха [13/25] Итерация [0/2, Loss: 0.08244685083627701, Triplets: 3\]

Эпоха [13/25] Итерация [100/2, Loss: 0.025216832756996155, Triplets: 1\]

Эпоха [13/25] Итерация [200/2, Loss: 0.0755496397614479, Triplets: 3\]

Эпоха [14/25] Итерация [0/2, Loss: 0.015437081456184387, Triplets: 2\]

Эпоха [14/25] Итерация [100/2, Loss: 0.12334007769823074, Triplets: 58\]

Эпоха [14/25] Итерация [200/2, Loss: 0.06660056859254837, Triplets: 16\]

Эпоха [15/25] Итерация [0/2, Loss: 0.11870644241571426, Triplets: 27\]

Эпоха [15/25] Итерация [100/2, Loss: 0.11895497143268585, Triplets: 43\]

Эпоха [15/25] Итерация [200/2, Loss: 0.11689059436321259, Triplets: 6\]

Val accuracy: 0.7108262108262108
Эпоха [16/25] Итерация [0/2, Loss: 0.002097293734550476, Triplets: 1\]

Эпоха [16/25] Итерация [100/2, Loss: 0.0, Triplets: 0\]

Эпоха [16/25] Итерация [200/2, Loss: 0.2081051766872406, Triplets: 108\]

Эпоха [17/25] Итерация [0/2, Loss: 0.057617876678705215, Triplets: 9\]

Эпоха [17/25] Итерация [100/2, Loss: 0.06682740151882172, Triplets: 6\]

Эпоха [17/25] Итерация [200/2, Loss: 0.10005150735378265, Triplets: 2\]

Эпоха [18/25] Итерация [0/2, Loss: 0.1047172099351883, Triplets: 7\]

Эпоха [18/25] Итерация [100/2, Loss: 0.11991313099861145, Triplets: 17\]

Эпоха [18/25] Итерация [200/2, Loss: 0.11658346652984619, Triplets: 11\]

Эпоха [19/25] Итерация [0/2, Loss: 0.0, Triplets: 0\]

Эпоха [19/25] Итерация [100/2, Loss: 0.334695965051651, Triplets: 154\]

Эпоха [19/25] Итерация [200/2, Loss: 0.10368227958679199, Triplets: 18\]

Эпоха [20/25] Итерация [0/2, Loss: 0.1375754475593567, Triplets: 56\]

Эпоха [20/25] Итерация [100/2, Loss: 0.11388494819402695, Triplets: 26\]

Эпоха [20/25] Итерация [200/2, Loss: 0.12358095496892929, Triplets: 39\]

Val accuracy: 0.7464387464387464
Эпоха [21/25] Итерация [0/2, Loss: 0.033930227160453796, Triplets: 4\]

Эпоха [21/25] Итерация [100/2, Loss: 0.045073941349983215, Triplets: 1\]

Эпоха [21/25] Итерация [200/2, Loss: 0.06972171366214752, Triplets: 6\]

Эпоха [22/25] Итерация [0/2, Loss: 0.0436314195394516, Triplets: 7\]

Эпоха [22/25] Итерация [100/2, Loss: 0.2522686719894409, Triplets: 136\]

Эпоха [22/25] Итерация [200/2, Loss: 0.03966742381453514, Triplets: 3\]

Эпоха [23/25] Итерация [0/2, Loss: 0.10683716833591461, Triplets: 9\]

Эпоха [23/25] Итерация [100/2, Loss: 0.0, Triplets: 0\]

Эпоха [23/25] Итерация [200/2, Loss: 0.03491896018385887, Triplets: 3\]

Эпоха [24/25] Итерация [0/2, Loss: 0.15828484296798706, Triplets: 76\]

Эпоха [24/25] Итерация [100/2, Loss: 0.003421381115913391, Triplets: 1\]

Эпоха [24/25] Итерация [200/2, Loss: 0.12487833201885223, Triplets: 15\]

